Filename:	C:\Users\Bown_304\Desktop\Jordan\TGA\magnesium_carbonate_heavy_1@241118110522.t6d 
Operator ID:	Jordan 
Sample ID:	magnesium_carbonate_heavy_1 
Comment: 	magnesium_carbonate_heavy_1 
Serial Number:	537L14021001 
Data Collected:	11/18/2024 12:33:22 PM 
Sample Weight:	9.761 mg 
Display Weight:	9.761 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\2023-04-05-Mary.tg1c 
Date/Time:	4/5/2023 3:36:31 PM 
Initial Conditions 
Temperature:	 20.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	5280 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 20.00°C to 900.00°C at 10.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	0.000000	9.761101	0.000000	20.004000	18.318000	0.000000 
	0.016667	9.760928	0.000000	20.171000	18.303000	0.000000 
	0.033333	9.760792	0.000000	20.337000	18.289000	0.000000 
	0.050000	9.760533	0.000000	20.504000	18.294000	0.000000 
	0.066667	9.760310	0.000000	20.671000	18.305000	0.000000 
	0.083333	9.760101	0.000000	20.837000	18.305000	0.000000 
	0.100000	9.759804	0.000000	21.004000	18.295000	0.000000 
	0.116667	9.759582	0.000000	21.171000	18.274000	0.000000 
	0.133333	9.759471	0.000000	21.337000	18.259000	0.000000 
	0.150000	9.759273	0.000000	21.504000	18.266000	0.000000 
	0.166667	9.759063	0.000000	21.671000	18.285000	0.000000 
	0.183333	9.758915	0.000000	21.837000	18.295000	0.000000 
	0.200000	9.758742	0.000000	22.004000	18.288000	0.000000 
	0.216667	9.758557	0.000000	22.171000	18.264000	0.000000 
	0.233333	9.758347	0.000000	22.337000	18.255000	0.000000 
	0.250000	9.758137	0.000000	22.504000	18.254000	0.000000 
	0.266667	9.757928	0.000000	22.671000	18.256000	0.000000 
	0.283333	9.757730	0.000000	22.837000	18.249000	0.000000 
	0.300000	9.757495	0.000000	23.004000	18.238000	0.000000 
	0.316667	9.757372	0.000000	23.171000	18.229000	0.000000 
	0.333333	9.757224	0.000000	23.337000	18.213000	0.000000 
	0.350000	9.757026	0.000000	23.504000	18.215000	0.000000 
	0.366667	9.756767	0.000000	23.671000	18.218000	0.000000 
	0.383333	9.756471	0.000000	23.837000	18.230000	0.000000 
	0.400000	9.756174	0.000000	24.004000	18.228000	0.000000 
	0.416667	9.755977	0.000000	24.171000	18.220000	0.000000 
	0.433333	9.755829	0.000000	24.337000	18.215000	0.000000 
	0.450000	9.755631	0.000000	24.504000	18.217000	0.000000 
	0.466667	9.755458	0.000000	24.671000	18.225000	0.000000 
	0.483333	9.755236	0.000000	24.837000	18.226000	0.000000 
	0.500000	9.754952	0.000000	25.004000	18.229000	0.000000 
	0.516667	9.754693	0.000000	25.171000	18.237000	0.000000 
	0.533333	9.754483	0.000000	25.337000	18.232000	0.000000 
	0.550000	9.754224	0.000000	25.504000	18.231000	0.000000 
	0.566667	9.753940	0.000000	25.671000	18.236000	0.000000 
	0.583333	9.753680	0.000000	25.837000	18.239000	0.000000 
	0.600000	9.753409	0.000000	26.004000	18.237000	0.000000 
