Filename:	C:\Users\Bown_304\Desktop\Jordan\TGA\silica_fume@241216130237.t6d 
Operator ID:	Jordan 
Sample ID:	silica_fume 
Comment: 	Silica fume 
Serial Number:	537L14021001 
Data Collected:	12/16/2024 2:30:38 PM 
Sample Weight:	14.705 mg 
Display Weight:	14.705 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\2023-04-05-Mary.tg1c 
Date/Time:	4/5/2023 3:36:31 PM 
Initial Conditions 
Temperature:	 20.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	5280 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 20.00°C to 900.00°C at 10.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	0.000000	14.704260	0.000000	20.004000	19.054000	0.000000 
	0.016667	14.704199	0.000000	20.171000	19.053000	0.000000 
	0.033333	14.704075	0.000000	20.337000	19.049000	0.000000 
	0.050000	14.703952	0.000000	20.504000	19.052000	0.000000 
	0.066667	14.703877	0.000000	20.671000	19.067000	0.000000 
	0.083333	14.703816	0.000000	20.837000	19.088000	0.000000 
	0.100000	14.703668	0.000000	21.004000	19.103000	0.000000 
	0.116667	14.703606	0.000000	21.171000	19.110000	0.000000 
	0.133333	14.703519	0.000000	21.337000	19.097000	0.000000 
	0.150000	14.703470	0.000000	21.504000	19.089000	0.000000 
	0.166667	14.703396	0.000000	21.671000	19.101000	0.000000 
	0.183333	14.703334	0.000000	21.837000	19.124000	0.000000 
	0.200000	14.703211	0.000000	22.004000	19.134000	0.000000 
	0.216667	14.703112	0.000000	22.171000	19.136000	0.000000 
	0.233333	14.703063	0.000000	22.337000	19.144000	0.000000 
	0.250000	14.703001	0.000000	22.504000	19.156000	0.000000 
	0.266667	14.703026	0.000000	22.671000	19.157000	0.000000 
	0.283333	14.702964	0.000000	22.837000	19.167000	0.000000 
